アクセスログ	コンピュータが利用された事実を示すデータ。いつ（日時）、誰（ID）が、どこから（ IPアドレス）、どのサービスを利用したかが記録されており、不正にコンピュータが利用された場合に犯人を探す手掛かりとなる。https://www.npa.go.jp/cyberpolice/words/index.html
アクセス履歴	コンピュータが利用された事実を示すデータ。いつ（日時）、誰（ID）が、どこから（ IPアドレス）、どのサービスを利用したかが記録されており、不正にコンピュータが利用された場合に犯人を探す手掛かりとなる。https://www.npa.go.jp/cyberpolice/words/index.html
アプリケーション	コンピュータ上で提供されるサービスの総称をいう。インターネットの世界では、メールや Web 等がこれにあたる。	https://www.npa.go.jp/cyberpolice/words/index.html
アプリケーション・ゲートウェイ方式	ファイアウォールの一種で、アプリケーション（サービス）の内容まで立ち入って検査する方式。もう１つの方式であるパケット・フィルタリング方式に比べて、より詳細な検査が可能である反面、負荷がかかるため大きな処理能力が必要とされる。	https://www.npa.go.jp/cyberpolice/words/index.html
ウイルス	ユーザが意図しない動作を行うプログラムで、次のいずれか一つ以上の機能を持つ。多くの場合は、何らかの被害を及ぼすように悪意を持って作られる。感染: 他のファイルやホストに自分自身をコピーする潜伏: 特定の条件（時刻など）が成り立つまで待つ発病: ファイルを破壊したり、他サイトのホストに攻撃を開始したりする一般的に、ウイルスは感染媒体や自己増殖の機能の有無によって、（狭義の）ウイルス、ワーム、トロイの木馬の3種類に分けられる。また、これら3種類をまとめて広義のウイルスと呼ぶ。狭義のウイルスは、単体で動作することはなく、プログラムや文書ファイルなどに感染する。ウイルスに感染したファイルをユーザが開くと、他のファイルに自分自身をコピーして増殖する。 本用語集では、「ウイルス」と記述しているものは広義のウイルスのことを指す。	https://www.npa.go.jp/cyberpolice/words/index.html
コンピュータウイルス	ユーザが意図しない動作を行うプログラムで、次のいずれか一つ以上の機能を持つ。多くの場合は、何らかの被害を及ぼすように悪意を持って作られる。感染: 他のファイルやホストに自分自身をコピーする潜伏: 特定の条件（時刻など）が成り立つまで待つ発病: ファイルを破壊したり、他サイトのホストに攻撃を開始したりする一般的に、ウイルスは感染媒体や自己増殖の機能の有無によって、（狭義の）ウイルス、ワーム、トロイの木馬の3種類に分けられる。また、これら3種類をまとめて広義のウイルスと呼ぶ。狭義のウイルスは、単体で動作することはなく、プログラムや文書ファイルなどに感染する。ウイルスに感染したファイルをユーザが開くと、他のファイルに自分自身をコピーして増殖する。 本用語集では、「ウイルス」と記述しているものは広義のウイルスのことを指す。	https://www.npa.go.jp/cyberpolice/words/index.html
ウイルス対策ソフト	パソコンにインストールするクライアント用ソフトの他に、ファイルサーバやグループウェアサーバにインストールして、多段圧縮されたファイルの検査や遠隔管理ができるソフトや、外部ネットワークと内部ネットワークの境界にあるゲートウェイにインストールして、そこを通過するメールやWeb閲覧などの通信からウイルスを駆除できるソフトもある。	https://www.npa.go.jp/cyberpolice/words/index.html
アンチウイルス製品	パソコンにインストールするクライアント用ソフトの他に、ファイルサーバやグループウェアサーバにインストールして、多段圧縮されたファイルの検査や遠隔管理ができるソフトや、外部ネットワークと内部ネットワークの境界にあるゲートウェイにインストールして、そこを通過するメールやWeb閲覧などの通信からウイルスを駆除できるソフトもある。	https://www.npa.go.jp/cyberpolice/words/index.html
ウォー・ドライビング	オフィス街などを自動車で移動しながら、セキュリティの設定が不十分な無線LANのアクセスポイントを探す行為。見つかったアクセスポイントを利用してLANに侵入したり、インターネットへの接続の踏み台にしたりする。 対策としては、ESS-ID のANY接続を拒否する、WEP や WPA で暗号化しキーを設定する、端末ごとの MACアドレスで制限をかけ、あらかじめ登録されているコンピュータからの接続しか許可しない、などがある。	https://www.npa.go.jp/cyberpolice/words/index.html
エージェント	特定のアプリケーションにおいて、クライアント・サーバ間通信を行うために、クライアント側に導入されるプログラムをいう。ネットワーク管理等で使用されることが多い（例：SNMPエージェント等）。	https://www.npa.go.jp/cyberpolice/words/index.html
オートコンプリート	パソコン利用者のキーボード入力を補助する目的で、過去の入力履歴を参照して、次の入力を予想し、あらかじめ表示する機能のこと。Webブラウザではアドレス（URL）入力や検索エンジンのキーワード入力等でも使われている。また、ユーザ認証が必要なWebサイトでは、IDやパスワードの補完も行う。このため、複数の利用者で共有するパソコンでオートコンプリート機能が有効になっていた場合、過去のWeb閲覧の履歴や検索キーワード、WebサイトのID等の情報が漏洩するおそれがある。 複数の利用者が利用するパソコン等では、オートコンプリート機能（ユーザID、パスワードの保存機能等も含む）を無効にしておくことが望ましい。	https://www.npa.go.jp/cyberpolice/words/index.html
改ざん	文書等に記述された字句等を、作成者等の許諾を得ないで自己の都合により書き直してしまうこと。他者の管理するWebページを書き換え信用失墜に陥れたり、他者からのメールの内容を書き換えて欺いたりすることを指す。 送られたデータが間違いなく送信者本人のものであるか、途中で改ざんされていないかについて、受信者が確認することができる仕組みに電子署名がある。これはハッシュ関数と公開鍵暗号方式を使用したメッセージダイジェストを元の文書等に添付し、改ざんの有無を確認できるようにしたものである。	https://www.npa.go.jp/cyberpolice/words/index.html
キャッシュポイズニング	DNSサーバソフトウェアの欠陥を悪用して、DNSキャッシュ情報を不正なレコードに置き換える攻撃手法。 対象のDNSサーバを利用するユーザが攻撃者の用意した悪意のあるサイトへ誘導されるおそれがある。 例えば、ある組織のDNSサーバを攻撃することにより、そのDNSサーバを利用する全てのユーザが影響を受けることになる。 インターネットサービスプロバイダーのDNSサーバへの攻撃では、数多くのインターネットユーザが影響を受ける可能性がある。	https://www.npa.go.jp/cyberpolice/words/index.html
共通鍵暗号方式	暗号化と復号化を同じ鍵（共通鍵）で行う暗号方式。一般に公開鍵暗号方式に比べて処理が高速に行えるという長所がある。	https://www.npa.go.jp/cyberpolice/words/index.html
キーロガー	コンピュータへのキー入力をすべて記録し、その内容をファイルに保存したり外部に送信したりするツール。例えば、インターネットカフェや公共の場所に設置されているパソコンにインストールされていると、ユーザの情報が盗み取られることがある。	https://www.npa.go.jp/cyberpolice/words/index.html
クラッキング 	コンピュータに不正に侵入し、システムやデータを破壊、改ざんする行為。またその行為を行う者をクラッカーという。	https://www.npa.go.jp/cyberpolice/words/index.html
クラッカー	コンピュータに不正に侵入し、システムやデータを破壊、改ざんする行為。またその行為を行う者をクラッカーという。	https://www.npa.go.jp/cyberpolice/words/index.html
クロスサイトスクリプティング	入力欄のある Webページで、入力した内容をそのままブラウザに送り返してしまう様な仕組みを備えた場合の危険性が指摘された脆弱性のことをいう。 入力情報のチェックに不備があると、悪意のあるスクリプトを含むWebページが生成される。このページを閲覧した際にブラウザ上でスクリプトが実行されてしまい、Cookie情報が盗まれたり、偽の情報が表示されるなどの被害が考えられる。 他のWebサーバに悪意のあるスクリプトを含むWebページを用意しておき、この脆弱性を利用してリンクを設定し誘導することが可能なことから、クロスサイトスクリプティングと命名された。 Webサーバの管理者は入力欄のあるWebページを設置する際には、「サニタイジング」と呼ばれる文字列処理をきちんと行い、入力欄にスクリプトを入力されても無効とする措置が必要となる。	https://www.npa.go.jp/cyberpolice/words/index.html
検疫ネットワーク	セキュリティポリシーに合わないクライアントの接続を制限したり、強制的にセキュリティポリシーを適用したりして、ネットワーク全体の安全性を高めるシステム。安全ではないと判断されたクライアントを、ウイルス定義ファイルのアップデートサイトやパッチのダウンロードサイトに接続させて、セキュリティ対策を行ってから組織内ネットワークに接続させるものもある。 なお、検疫ネットワークには決まった規格はなく、提供業者によって実装方法は異なる。	https://www.npa.go.jp/cyberpolice/words/index.html
公開鍵暗号方式	暗号化と復号化で異なる鍵を用いる暗号方式。他者に公開する鍵を公開鍵といい、秘密にしておく鍵を秘密鍵という。 どちらかの鍵で暗号化されたメッセージは他方の鍵でしか復号化できない。なりすまし防止のための鍵所有者の認証、改ざん防止のための電子署名、盗聴防止のための暗号文の作成等の多様な用途に利用されている。	https://www.npa.go.jp/cyberpolice/words/index.html
公衆無線ＬＡＮ	人が多く集まる場所に無線LAN（IEEE 802.11）のアクセスポイントを設置し、ノートパソコンなどの携帯端末ユーザに対してインターネットへの接続サービスを提供している場所のこと。レストランや駅、空港などに多い。	https://www.npa.go.jp/cyberpolice/words/index.html
サービス	ホストの処理量や通信量を増加させたり、ソフトウェアの脆弱性や設定の不備を悪用して、ホストの機能を低下あるいは停止させることを意図した攻撃。また、ネットワークを利用不可能な状態にする攻撃もある。	https://www.npa.go.jp/cyberpolice/words/index.html
サービス不能攻撃	ホストの処理量や通信量を増加させたり、ソフトウェアの脆弱性や設定の不備を悪用して、ホストの機能を低下あるいは停止させることを意図した攻撃。また、ネットワークを利用不可能な状態にする攻撃もある。	https://www.npa.go.jp/cyberpolice/words/index.html	
サイバーテロ	重要インフラの基幹システムに対する電子的攻撃又は重要インフラの基幹システムにおける重大な障害で電子的攻撃による可能性が高いものをいう。	https://www.npa.go.jp/cyberpolice/words/index.html
重要インフラ	情報通信、金融、航空、鉄道、電力、ガス、政府・行政サービス（地方公共団体を含む。）、医療、水道、物流の各分野における社会基盤をいう。	https://www.npa.go.jp/cyberpolice/words/index.html
侵入検知システム	ネットワークあるいはホストへの攻撃や侵入を検出し、管理者への通報を行うシステム。ファイアウォールと組み合わせて、セキュリティをより強固にする目的で使われる。ネットワークを流れるパケットを監視する「ネットワーク監視型」と、ホストの状態を監視する「ホスト監視型」がある。また、攻撃や侵入の検出方法には、あらかじめ登録しておいた攻撃や侵入の挙動パターン（シグネチャ）と一致しているかを調べる「不正検出型」と、通常状態（プロファイル）の範囲を超えていないかを調べる「異常検出型」がある。	https://www.npa.go.jp/cyberpolice/words/index.html
辞書攻撃	主にパスワードの割り出しに用いられる手法。辞書に載っているような単語を機械的にパスワードとして試行し、合致するものがないかどうかを解析する。使用する辞書は通常のものだけでなく、専門用語や地名、人名、芸能人名などに特化したものも存在する。また、単語の文字列を逆にしたり、大文字や小文字、数字や記号などを組み合わせて試行する機能を備えているツールもある。 具体的には、辞書に収録されている単語のファイルを用意して、順番に試行していく。一般的な辞書に収録されているような単語をパスワードとして使用している場合、辞書の語数(一般的なもので数万語～数十万語)だけ試行すればパスワードは割り出されてしまう。 破られにくいパスワードにするためには、辞書に収録されているような一般的な単語は使用すべきでない。	https://www.npa.go.jp/cyberpolice/words/index.html
ステガノグラフィー	音声や画像等のデータにメッセージを埋め込んで隠す技術。第三者に見られても単なる画像や音声のデータとしてしか認識されず、メッセージの存在には気付かれない。暗号化は第三者にメッセージが解読されないことが目的であるのに対して、ステガノグラフィーはメッセージの存在そのものを隠すために使われる。	https://www.npa.go.jp/cyberpolice/words/index.html
スニッフィング	ネットワークを流れるデータを傍受すること。本来はネットワークに障害が起こったときの調査手段として使われる手法だが、これを悪用して、通信内容、特に ID とパスワードを盗み見るために使用されることがある。パケット・スニッフィングと呼ばれることもある。	https://www.npa.go.jp/cyberpolice/words/index.html
スパイウェア	コンピュータ利用者のIPアドレスや Web の閲覧履歴等の個人情報を、ひそかに収集して外部へ送信するプログラムのこと。広告やマーケティングのためにデータを集めるものが多い。他のソフトウェアと共に配布、インストールされるため、利用者はインストールされたことに気づきにくい。一般のウイルス対策ソフトでは検出されない場合も多く、その発見と駆除には専用のスパイウェア対策ソフトが用いられる。	https://www.npa.go.jp/cyberpolice/words/index.html
スパムメール	不特定多数のユーザに対し、承認を得ずに送られる迷惑メール。送信元を隠すため、セキュリティの弱いメールサーバが不正利用されることがある。	https://www.npa.go.jp/cyberpolice/words/index.html
スリーウェイ・ハンドシェーク	TCP接続の開始手順。送信側から通信の開始要求（SYNパケット）を受信側に送ると、受信側は応答（SYN/ACKパケット）を返信する。それに対して送信側が応答（ACKパケット）を返すことにより、TCP接続が確立される。３つのパケットが行き来することから「スリーウェイ」と呼ばれる。	https://www.npa.go.jp/cyberpolice/words/index.html
セカンダリサーバ	DNSのコンテンツサーバの一種で、ゾーン情報をプライマリサーバからコピーして利用するサーバのこと。 プライマリサーバと同様に、ゾーンに対する管理権限を持つ。 プライマリ・セカンダリの併用により、負荷の分散や冗長性の保持が可能である。	https://www.npa.go.jp/cyberpolice/words/index.html
セキュリティホール（脆弱性）	ソフトウェアのバグや設定ミス等セキュリティ上の弱点をいう。ソフトウェアのバグの場合、発見後配布されるセキュリティパッチを直ちに適用し、セキュリティホールを塞ぐことが重要である。	https://www.npa.go.jp/cyberpolice/words/index.html
セキュリティポリシー	安全を確保するために何をどのように守るかを決めた方針のこと。情報システムにおける「情報セキュリティポリシー」を指すことが多く、情報資産、情報ネットワークのセキュリティを確保する際に、守るべき範囲、それに必要となる対策、規約等を定めたものをいい、これに則ってシステムの構築と運用を行う。また、運用に即した定期的な見直しが必要となる。	https://www.npa.go.jp/cyberpolice/words/index.html	
ゼロデイ攻撃	OS(オペレーティングシステム)やアプリケーションの脆弱性に対応するパッチがソフトウェア製作会社などから提供される前に、その脆弱性を悪用して行われる攻撃の総称。	https://www.npa.go.jp/cyberpolice/words/index.html
